title,genres,language,country,release_year,director,actors,imdb_link,watched_date
A Walk Among the Tombstones,Crime|Drama|Mystery|Thriller,English,USA,2014,Scott Frank,Liam Neeson|Boyd Holbrook|David Harbour,http://www.imdb.com/title/tt0365907/,2014-02-04
The Best of Me,Drama|Romance,English,USA,2014,Michael Hoffman,Luke Bracey|Gerald McRaney|Clarke Peters,http://www.imdb.com/title/tt1972779/,2014-12-13
Viy,Adventure|Fantasy|Mystery|Thriller,Russian,Russia,2014,Oleg Stepchenko,Jason Flemyng|Igor Jijikine|Agnia Ditkovskite,http://www.imdb.com/title/tt1224378/,2014-09-10
The Face of an Angel,Drama,English,UK,2014,Michael Winterbottom,Cara Delevingne|Ava Acres|Sara Stewart,http://www.imdb.com/title/tt2967008/,2014-07-07
Ride Along,Action|Comedy|Crime|Romance,English,USA,2014,Tim Story,Bruce McGill|Tika Sumpter|Bryan Callen,http://www.imdb.com/title/tt1408253/,2014-05-10
Million Dollar Arm,Biography|Drama|Sport,English,USA,2014,Craig Gillespie,Jon Hamm|Suraj Sharma|Gregory Alan Williams,http://www.imdb.com/title/tt1647668/,2014-06-21
The Giver,Drama|Romance|Sci-Fi,English,South Africa,2014,Phillip Noyce,Jeff Bridges|Meryl Streep|Alexander Skarsgård,http://www.imdb.com/title/tt0435651/,2014-07-16
The Gambler,Crime|Drama|Thriller,English,USA,2014,Rupert Wyatt,George Kennedy|Cjon Saulsberry|Griffin Cleveland,http://www.imdb.com/title/tt2039393/,2014-01-08
Draft Day,Drama|Sport,English,USA,2014,Ivan Reitman,Jennifer Garner|Chi McBride|Patrick St. Esprit,http://www.imdb.com/title/tt2223990/,2014-01-30
Kung Fu Killer,Action|Drama,Cantonese,China,2014,Teddy Chan,Siu-Wong Fan|Charlie Yeung|Wai-Keung Lau,http://www.imdb.com/title/tt2952602/,2014-02-13
Red Sky,Action|Thriller,English,USA,2014,Mario Van Peebles,Martin Kove|Mario Van Peebles|Jacob Vargas,http://www.imdb.com/title/tt1946381/,2014-09-12
Think Like a Man Too,Comedy|Romance,English,USA,2014,Tim Story,Romany Malco|Regina Hall|David Walton,http://www.imdb.com/title/tt2239832/,2014-06-16
The Water Diviner,Drama|War,English,Australia,2014,Russell Crowe,Cem Yilmaz|Ryan Corr|Steve Bastoni,http://www.imdb.com/title/tt3007512/,2014-03-21
The Hundred-Foot Journey,Comedy|Drama,English,USA,2014,Lasse Hallström,Manish Dayal|Charlotte Le Bon|Juhi Chawla,http://www.imdb.com/title/tt2980648/,2014-10-03
Son of God,Biography|Drama|History,English,USA,2014,Christopher Spencer,Roma Downey|Amber Rose Revah|Darwin Shaw,http://www.imdb.com/title/tt3210686/,2014-04-03
Before I Go to Sleep,Drama|Mystery|Thriller,English,UK,2014,Rowan Joffe,Colin Firth|Ben Crompton|Anne-Marie Duff,http://www.imdb.com/title/tt1726592/,2014-06-14
Tammy,Comedy,English,USA,2014,Ben Falcone,Gary Cole|Mark Duplass|Ben Falcone,http://www.imdb.com/title/tt2103254/,2014-01-20
Selma,Biography|Drama|History,English,UK,2014,Ava DuVernay,David Oyelowo|Tom Wilkinson|Oprah Winfrey,http://www.imdb.com/title/tt1020072/,2014-04-25
This Is Where I Leave You,Comedy|Drama,English,USA,2014,Shawn Levy,Tina Fey|Abigail Spencer|Jane Fonda,http://www.imdb.com/title/tt1371150/,2014-01-21
Endless Love,Drama|Romance,English,USA,2014,Shana Feste,Alex Pettyfer|Bruce Greenwood|Rhys Wakefield,http://www.imdb.com/title/tt2318092/,2014-02-15
Inherent Vice,Comedy|Crime|Drama|Mystery|Romance,English,USA,2014,Paul Thomas Anderson,Martin Dew|Katherine Waterston|Serena Scott Thomas,http://www.imdb.com/title/tt1791528/,2014-08-15
A Most Violent Year,Action|Crime|Drama|Thriller,English,USA,2014,J.C. Chandor,David Oyelowo|Ashley Williams|Albert Brooks,http://www.imdb.com/title/tt2937898/,2014-07-22
Ramanujan,Biography|Drama|History,English,India,2014,Gnana Rajasekaran,Mani Bharathi|Michael Lieber|Kevin McGowan,http://www.imdb.com/title/tt3037162/,2014-03-26
Dwegons and Leprechauns,Animation,English,USA,2014,Tom Walsh,Joey D. Vieira|Maggie Wheeler|Jacqueline Lovell,http://www.imdb.com/title/tt1134666/,2014-10-28
Neighbors,Comedy,English,USA,2014,Nicholas Stoller,Craig Roberts|Carla Gallo|Ike Barinholtz,http://www.imdb.com/title/tt2004420/,2014-03-11
Left Behind,Action|Drama|Fantasy|Mystery|Thriller,English,USA,2014,Vic Armstrong,Nicolas Cage|Lea Thompson|Quinton Aaron,http://www.imdb.com/title/tt2467046/,2014-02-01
Birdman or (The Unexpected Virtue of Ignorance),Comedy|Drama|Romance,English,USA,2014,Alejandro G. Iñárritu,Emma Stone|Naomi Watts|Merritt Wever,http://www.imdb.com/title/tt2562232/,2014-07-31
And So It Goes,Comedy|Drama|Romance,English,USA,2014,Rob Reiner,Yaya DaCosta|Annie Parisse|Frankie Valli,http://www.imdb.com/title/tt2465146/,2014-12-13
Wolves,Action|Horror,English,France,2014,David Hayter,Jason Momoa|Jennifer Hale|Stephen McHattie,http://www.imdb.com/title/tt1403241/,2014-02-18
The Prince,Action|Thriller,English,USA,2014,Brian A Miller,Bruce Willis|50 Cent|Jessica Lowndes,http://www.imdb.com/title/tt1085492/,2014-01-11
Let's Be Cops,Comedy,English,USA,2014,Luke Greenfield,Rob Riggle|Damon Wayans Jr.|James D'Arcy,http://www.imdb.com/title/tt1924435/,2014-07-04
Escobar: Paradise Lost,Crime|Drama|Romance|Thriller,English,France,2014,Andrea Di Stefano,Josh Hutcherson|Brady Corbet|Carlos Bardem,http://www.imdb.com/title/tt2515030/,2014-09-04
Left Behind,Action|Drama|Fantasy|Mystery|Thriller,English,USA,2014,Vic Armstrong,Nicolas Cage|Lea Thompson|Quinton Aaron,http://www.imdb.com/title/tt2467046/,2014-04-08
The Homesman,Drama|Western,English,USA,2014,Tommy Lee Jones,Barry Corbin|Tim Blake Nelson|Miranda Otto,http://www.imdb.com/title/tt2398231/,2014-04-02
The Imitation Game,Biography|Drama|Thriller|War,English,UK,2014,Morten Tyldum,Benedict Cumberbatch|Rory Kinnear|Allen Leech,http://www.imdb.com/title/tt2084970/,2014-09-23
The Theory of Everything,Biography|Drama|Romance,English,UK,2014,James Marsh,Eddie Redmayne|Emily Watson|Simon McBurney,http://www.imdb.com/title/tt2980516/,2014-08-04
Wild,Adventure|Biography|Drama,English,USA,2014,Jean-Marc Vallée,Michiel Huisman|Kevin Rankin|Gaby Hoffmann,http://www.imdb.com/title/tt2305051/,2014-03-01
When the Game Stands Tall,Drama|Family|Sport,English,USA,2014,Thomas Carter,Jessie T. Usher|Matthew Daddario|Ser'Darius Blain,http://www.imdb.com/title/tt2247476/,2014-10-11
The November Man,Action|Crime|Thriller,English,USA,2014,Roger Donaldson,Luke Bracey|Akie Kotabe|Will Patton,http://www.imdb.com/title/tt2402157/,2014-09-29
A Most Wanted Man,Crime|Drama|Thriller,English,UK,2014,Anton Corbijn,Philip Seymour Hoffman|Nina Hoss|Homayoun Ershadi,http://www.imdb.com/title/tt1972571/,2014-05-02
Listening,Drama|Sci-Fi|Thriller,English,Cambodia,2014,Khalil Sullins,Thomas Stroppel|Kalim Chandler|Amber Marie Bollinger,http://www.imdb.com/title/tt3153582/,2014-09-28
Automata,Action|Sci-Fi|Thriller,English,Bulgaria,2014,Gabe Ibáñez,Birgitte Hjort Sørensen|Robert Forster|Melanie Griffith,http://www.imdb.com/title/tt1971325/,2014-04-09
Freedom,Drama|Family|Music,English,USA,2014,Peter Cousens,Sharon Leal|David Rasche|Bart Shatto,http://www.imdb.com/title/tt2584018/,2014-03-10
Mr. Turner,Biography|Drama|History,English,UK,2014,Mike Leigh,Lesley Manville|Ruth Sheen|Karl Johnson,http://www.imdb.com/title/tt2473794/,2014-02-09
Teenage Mutant Ninja Turtles,Action|Adventure|Comedy|Sci-Fi,English,USA,2014,Jonathan Liebesman,Noel Fisher|Danny Woodburn|Jeremy Howard,http://www.imdb.com/title/tt1291150/,2014-09-11
RoboCop,Action|Crime|Sci-Fi|Thriller,English,USA,2014,José Padilha,Gary Oldman|Abbie Cornish|Jennifer Ehle,http://www.imdb.com/title/tt1234721/,2014-11-22
St. Vincent,Comedy|Drama,English,USA,2014,Theodore Melfi,Bill Murray|Naomi Watts|Reg E. Cathey,http://www.imdb.com/title/tt2170593/,2014-03-02
About Last Night,Comedy|Romance,English,USA,2014,Steve Pink,Joe Lo Truglio|Regina Hall|Bryan Callen,http://www.imdb.com/title/tt1826590/,2014-02-21
No Good Deed,Crime|Thriller,English,USA,2014,Sam Miller,Leslie Bibb|Kate del Castillo|Henry Simmons,http://www.imdb.com/title/tt2011159/,2014-06-08
Earth to Echo,Adventure|Family|Sci-Fi,English,USA,2014,Dave Green,Teo Halm|Ella Wahlestedt|Jason Gray-Stanford,http://www.imdb.com/title/tt2183034/,2014-01-18
The Fault in Our Stars,Drama|Romance,English,USA,2014,Josh Boone,Shailene Woodley|Sam Trammell|Nat Wolff,http://www.imdb.com/title/tt2582846/,2014-10-28
Top Five,Comedy|Romance,English,USA,2014,Chris Rock,Rosario Dawson|Romany Malco|J.B. Smoove,http://www.imdb.com/title/tt2784678/,2014-05-27
Heaven Is for Real,Biography|Drama,English,USA,2014,Randall Wallace,Jacob Vargas|Connor Corum|Rob Moran,http://www.imdb.com/title/tt1929263/,2014-06-21
Trash,Adventure|Crime|Drama|Mystery|Thriller,Portuguese,UK,2014,Stephen Daldry,Wagner Moura|Selton Mello|Daniel Zettel,http://www.imdb.com/title/tt1921149/,2014-09-25
If I Stay,Drama|Fantasy|Music|Romance,English,USA,2014,R.J. Cutler,Chloë Grace Moretz|Mireille Enos|Stacy Keach,http://www.imdb.com/title/tt1355630/,2014-03-12
Drive Hard,Action|Comedy|Crime,English,Canada,2014,Brian Trenchard-Smith,Zoe Ventoura|Damien Garvey|Christopher Sommers,http://www.imdb.com/title/tt2968804/,2014-08-23
La Famille Bélier,Comedy|Drama|Music,French,France,2014,Eric Lartigau,Karin Viard|Eric Elmosnino|François Damiens,http://www.imdb.com/title/tt3547740/,2014-04-23
Big Eyes,Biography|Crime|Drama|Romance,English,USA,2014,Tim Burton,Christoph Waltz|Danny Huston|Jon Polito,http://www.imdb.com/title/tt1126590/,2014-05-07
Black or White,Drama,English,USA,2014,Mike Binder,Jennifer Ehle|Gillian Jacobs|Jillian Estell,http://www.imdb.com/title/tt2883434/,2014-06-01
While We're Young,Comedy|Drama,English,USA,2014,Noah Baumbach,Naomi Watts|Maria Dizzia|Dree Hemingway,http://www.imdb.com/title/tt1791682/,2014-05-09
Rosewater,Biography|Drama,English,USA,2014,Jon Stewart,Numan Acar|Claire Foy|Haluk Bilginer,http://www.imdb.com/title/tt2752688/,2014-10-14
Elsa & Fred,Comedy|Drama|Romance,English,USA,2014,Michael Radford,Chris Noth|Jared Gilman|James Brolin,http://www.imdb.com/title/tt2113659/,2014-05-16
Jungle Shuffle,Adventure|Animation,English,South Korea,2014,Taedong Park,Drake Bell|Tom Arnold|Amanda Troop,http://www.imdb.com/title/tt2722786/,2014-06-21
American Heist,Action|Crime|Drama|Thriller,English,Canada,2014,Sarik Andreasyan,Hayden Christensen|Jordana Brewster|Akon,http://www.imdb.com/title/tt2923316/,2014-01-02
Plastic,Action|Comedy|Crime|Drama,English,UK,2014,Julian Gilbey,Mem Ferda|Alfie Allen|Malese Jow,http://www.imdb.com/title/tt2556874/,2014-06-16
The Purge: Anarchy,Action|Horror|Sci-Fi|Thriller,English,USA,2014,James DeMonaco,Noel Gugliemi|Zach Gilford|Roberta Valderrama,http://www.imdb.com/title/tt2975578/,2014-10-23
Barbecue,Comedy,French,France,2014,Eric Lavaine,Lambert Wilson|Julie Engelbrecht|Lionel Abelanski,http://www.imdb.com/title/tt3202120/,2014-09-27
Skin Trade,Action|Crime|Thriller,English,Thailand,2014,Ekachai Uekrongtham,Michael Jai White|Mike Dopud|Celina Jade,http://www.imdb.com/title/tt1641841/,2014-11-11
Nightcrawler,Crime|Drama|Thriller,English,USA,2014,Dan Gilroy,Jake Gyllenhaal|Michael Papajohn|James Huang,http://www.imdb.com/title/tt2872718/,2014-07-03
That Awkward Moment,Comedy|Romance,English,USA,2014,Tom Gormican,Mackenzie Davis|Lola Glaudini|Josh Pais,http://www.imdb.com/title/tt1800246/,2014-01-08
Aloft,Drama,English,Spain,2014,Claudia Llosa,Ian Tracey|Zen McGrath|William Shimell,http://www.imdb.com/title/tt2494384/,2014-11-10
Swelter,Action|Crime|Drama|Thriller,English,USA,2014,Keith Parmer,Rachel Ann Mullins|Josh Henderson|Grant Bowler,http://www.imdb.com/title/tt2112277/,2014-12-06
Far from Men,Drama|War|Western,French,France,2014,David Oelhoffen,Viggo Mortensen|Reda Kateb|Ángela Molina,http://www.imdb.com/title/tt2936180/,2014-06-02
Devil's Due,Horror|Mystery,English,USA,2014,Matt Bettinelli-Olpin,Zach Gilford|Allison Miller|Vanessa Ray,http://www.imdb.com/title/tt2752758/,2014-12-07
Beyond the Lights,Drama|Music,English,USA,2014,Gina Prince-Bythewood,Minnie Driver|Nate Parker|Darryl Stephens,http://www.imdb.com/title/tt3125324/,2014-11-24
Z Storm,Action|Crime,Cantonese,Hong Kong,2014,David Lam,Michael Wong|Louis Koo|Stephen Au,http://www.imdb.com/title/tt3469440/,2014-12-02
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,,USA,2014,Richard Rich,Debi Derryberry|Kate Higgins|Cindy Robinson,http://www.imdb.com/title/tt4061848/,2014-03-12
Annabelle,Horror|Mystery,English,USA,2014,John R. Leonetti,Alfre Woodard|Annabelle Wallis|Gabriel Bateman,http://www.imdb.com/title/tt3322940/,2014-11-17
Wish I Was Here,Comedy|Drama,English,USA,2014,Zach Braff,Jim Parsons|Josh Gad|Michael Weston,http://www.imdb.com/title/tt2870708/,2014-05-28
Song One,Drama|Music,English,USA,2014,Kate Barker-Froyland,Anne Hathaway|Shawn Parsons|Li Jun Li,http://www.imdb.com/title/tt2182972/,2014-08-10
Animals,Drama,English,USA,2014,Collin Schiffli,Kim Shaw|John Heard|David Dastmalchian,http://www.imdb.com/title/tt3297554/,2014-02-15
Miss Julie,Drama|Romance,English,Norway,2014,Liv Ullmann,Samantha Morton|Jessica Chastain|Colin Farrell,http://www.imdb.com/title/tt2667960/,2014-06-10
Ouija,Fantasy|Horror,English,USA,2014,Stiles White,Lin Shaye|Shelley Hennig|Daren Kagasoff,http://www.imdb.com/title/tt1204977/,2014-08-04
Paranormal Activity: The Marked Ones,Fantasy|Horror|Thriller,English,USA,2014,Christopher Landon,Richard Cabral|Gloria Sandoval|Molly Ephraim,http://www.imdb.com/title/tt2473682/,2014-03-09
Addicted,Drama|Thriller,Spanish,USA,2014,Bille Woodruff,Boris Kodjoe|Cameron Mills|Sharon Leal,http://www.imdb.com/title/tt2205401/,2014-07-24
Still Alice,Drama,English,USA,2014,Richard Glatzer,Kristen Stewart|Hunter Parrish|Seth Gilliam,http://www.imdb.com/title/tt3316960/,2014-10-22
Kill the Messenger,Biography|Crime|Drama|Mystery|Thriller,English,USA,2014,Michael Cuesta,Jeremy Renner|Paz Vega|Robert Pralgo,http://www.imdb.com/title/tt1216491/,2014-06-02
Atlas Shrugged: Who Is John Galt?,Drama|Mystery|Sci-Fi,English,USA,2014,James Manera,Joaquim de Almeida|Greg Germann|Kristoffer Polaha,http://www.imdb.com/title/tt2800038/,2014-08-09
Rudderless,Comedy|Drama|Music,English,USA,2014,William H. Macy,Billy Crudup|Felicity Huffman|David Adam Flannery,http://www.imdb.com/title/tt1798243/,2014-10-17
Henry & Me,Animation|Family,English,USA,2014,Barrett Esposito,Chazz Palminteri|Cyndi Lauper|Danny Aiello,http://www.imdb.com/title/tt1460798/,2014-10-28
Dying of the Light,Drama|Thriller,English,Bahamas,2014,Paul Schrader,Nicolas Cage|Irène Jacob|Tomiwa Edun,http://www.imdb.com/title/tt1274586/,2014-09-22
Born of War,Action|Drama|Thriller|War,English,UK,2014,Vicky Jewson,James Frain|Sofia Black-D'Elia|Lisa Kay,http://www.imdb.com/title/tt1554921/,2014-09-17
Let's Kill Ward's Wife,Comedy|Crime,English,USA,2014,Scott Foley,Donald Faison|Greg Grunberg|Dagmara Dominczyk,http://www.imdb.com/title/tt2980708/,2014-07-21
Moms' Night Out,Comedy,English,USA,2014,Andrew Erwin,Alex Kendrick|Sarah Drew|Patricia Heaton,http://www.imdb.com/title/tt3014666/,2014-05-31
Fugly,Drama|Thriller,Hindi,India,2014,Kabir Sadanand,Jimmy Shergill|Sana Saeed|Dimple Kapadia,http://www.imdb.com/title/tt3683702/,2014-09-22
Falcon Rising,Action|Adventure,English,USA,2014,Ernie Barbarash,Michael Jai White|Michael J. Morris|Lateef Crowder,http://www.imdb.com/title/tt2295722/,2014-06-29
Exodus: Gods and Kings,Action|Adventure|Drama,English,UK,2014,Ridley Scott,Christian Bale|María Valverde|Ben Mendelsohn,http://www.imdb.com/title/tt1528100/,2014-07-09
Boyhood,Drama,English,USA,2014,Richard Linklater,Ellar Coltrane|Lorelei Linklater|Libby Villari,http://www.imdb.com/title/tt1065073/,2014-07-22
A Haunted House 2,Comedy|Fantasy,English,USA,2014,Michael Tiddes,Ashley Rickards|Essence Atkins|Gabriel Iglesias,http://www.imdb.com/title/tt2828996/,2014-09-17
Futuro Beach,Drama,Portuguese,Brazil,2014,Karim Aïnouz,Wagner Moura|Clemens Schick|Jesuíta Barbosa,http://www.imdb.com/title/tt2199543/,2014-10-25
The Perfect Wave,Adventure|Biography|Drama|Romance,English,South Africa,2014,Bruce Macdonald,Rachel Hendrix|Cheryl Ladd|Diana Vickers,http://www.imdb.com/title/tt2414822/,2014-01-06
Desert Dancer,Biography|Drama,English,UK,2014,Richard Raymond,Tom Cullen|Reece Ritchie|Marama Corlett,http://www.imdb.com/title/tt2403393/,2014-05-15
In the Name of the King: The Last Job,Action|Adventure|Fantasy|Thriller,English,Canada,2014,Uwe Boll,Bashar Rahal|Shelly Varod|Ralitsa Paskaleva,http://www.imdb.com/title/tt2379386/,2014-01-19
Wicked Blood,Action|Crime|Drama|Thriller,English,USA,2014,Mark Young,Alexa PenaVega|Jake Busey|Lew Temple,http://www.imdb.com/title/tt2761578/,2014-11-08
Dawn Patrol,Drama|Thriller,English,,2014,Daniel Petrie Jr.,Chris Brochu|Jeff Fahey|Rita Wilson,http://www.imdb.com/title/tt2073661/,2014-11-27
Lords of London,Crime|Mystery|Thriller,English,UK,2014,Antonio Simoncini,Ray Winstone|Joe Egan|Glen Murphy,http://www.imdb.com/title/tt1800337/,2014-04-21
Whiplash,Drama|Music,English,USA,2014,Damien Chazelle,J.K. Simmons|Melissa Benoist|Chris Mulkey,http://www.imdb.com/title/tt2582802/,2014-08-04
The Opposite Sex,Comedy,English,USA,2014,Jennifer Finnigan,Geoff Stults|Kenan Thompson|Josh Hopkins,http://www.imdb.com/title/tt2796678/,2014-11-21
Coming Home,Drama,Mandarin,China,2014,Yimou Zhang,Li Gong|Daoming Chen|Ni Yan,http://www.imdb.com/title/tt3125472/,2014-01-07
Tusk,Comedy|Drama|Horror,English,USA,2014,Kevin Smith,Johnny Depp|Haley Joel Osment|Michael Parks,http://www.imdb.com/title/tt3099498/,2014-11-08
The Gambler,Crime|Drama|Thriller,English,USA,2014,Rupert Wyatt,George Kennedy|Cjon Saulsberry|Griffin Cleveland,http://www.imdb.com/title/tt2039393/,2014-10-23
They Came Together,Comedy,English,USA,2014,David Wain,Christopher Meloni|Amy Poehler|Jack McBrayer,http://www.imdb.com/title/tt2398249/,2014-05-30
Something Wicked,Drama|Horror|Mystery|Thriller,English,USA,2014,Darin Scott,Julian Morris|Shantel VanSanten|John Robinson,http://www.imdb.com/title/tt1327601/,2014-07-06
Amnesiac,Drama|Horror|Mystery|Thriller,English,USA,2014,Michael Polish,Olivia Rose Keegan|Patrick Bauchau|Mia Barron,http://www.imdb.com/title/tt2837336/,2014-06-02
The Calling,Thriller,English,USA,2014,Jason Stone,Topher Grace|Ellen Burstyn|Christopher Heyerdahl,http://www.imdb.com/title/tt1666335/,2014-04-22
8 Days,Drama|Thriller,English,USA,2014,Jaco Booyens,Nicole Smolen|Sebastian Aguilar|Ivette Alvarez,http://www.imdb.com/title/tt3111864/,2014-09-08
Always Woodstock,Comedy|Music|Romance,English,USA,2014,Rita Merson,Ryan Guzman|James Wolk|Jason Ritter,http://www.imdb.com/title/tt1995477/,2014-10-01
It Follows,Horror|Mystery,English,USA,2014,David Robert Mitchell,Maika Monroe|Ruby Harris|Jake Weary,http://www.imdb.com/title/tt3235888/,2014-09-13
The Last Five Years,Comedy|Drama|Musical|Romance,English,USA,2014,Richard LaGravenese,Anna Kendrick|Jeremy Jordan|Charly Bivona,http://www.imdb.com/title/tt2474024/,2014-12-18
Out of the Dark,Horror|Thriller,English,USA,2014,Lluís Quílez,Stephen Rea|Pixie Davies|Alejandro Furth,http://www.imdb.com/title/tt2872724/,2014-10-18
Unsullied,Action|Horror|Thriller,English,USA,2014,Simeon Rice,Ward G. Smith|Lisa Brave|Malone Thomas,http://www.imdb.com/title/tt3139764/,2014-12-29
Housebound,Comedy|Horror|Mystery,English,New Zealand,2014,Gerard Johnstone,Morgana O'Reilly|Bruce Hopkins|Cameron Rhodes,http://www.imdb.com/title/tt3504048/,2014-06-27
Closer to the Moon,Comedy|Drama,English,Romania,2014,Nae Caranfil,Monica Barladeanu|Joe Armstrong|Martin Hancock,http://www.imdb.com/title/tt2017486/,2014-05-24
Mutant World,Sci-Fi,English,Canada,2014,David Winning,Ashanti|Amber Marshall|John DeSantis,http://www.imdb.com/title/tt3626436/,2014-05-01
Girl House,Horror|Thriller,English,Canada,2014,Jon Knautz,Camren Bicondova|Adam DiMarco|Chasty Ballesteros,http://www.imdb.com/title/tt2577172/,2014-07-28
The Blue Room,Crime|Romance|Thriller,French,France,2014,Mathieu Amalric,Mathieu Amalric|Léa Drucker|Laurent Poitrenaux,http://www.imdb.com/title/tt3230082/,2014-07-30
House at the End of the Drive,Horror|Thriller,English,USA,2014,David Worth,Jessica Szohr|Jonathan Mangum|Angela Jones,http://www.imdb.com/title/tt0464054/,2014-03-31
Queen of the Mountains,Action|Biography|Drama|History,English,Kyrgyzstan,2014,Sadyk Sher-Niyaz,Elina Abai Kyzy|Aziz Muradillayev|Mirlan Abdulayev,http://www.imdb.com/title/tt2640460/,2014-10-07
Da Sweet Blood of Jesus,Comedy|Romance|Thriller,English,USA,2014,Spike Lee,Rami Malek|Elvis Nolasco|Felicia Pearson,http://www.imdb.com/title/tt3104930/,2014-02-13
The Algerian,Action|Romance|Thriller,English,USA,2014,Giovanni Zelko,Zuhair Haddad|Harry Lennix|Ben Youcef,http://www.imdb.com/title/tt1681370/,2014-04-04
The Sleepwalker,Drama,English,Norway,2014,Mona Fastvold,Christopher Abbott|Brady Corbet|Gitte Witt,http://www.imdb.com/title/tt2723576/,2014-04-22
Unfriended,Horror|Mystery|Thriller,English,USA,2014,Levan Gabriadze,Shelley Hennig|Renee Olstead|Heather Sossaman,http://www.imdb.com/title/tt3713166/,2014-09-26
The Skeleton Twins,Comedy|Drama,English,USA,2014,Craig Johnson,Ty Burrell|Boyd Holbrook|Kathleen Rose Perkins,http://www.imdb.com/title/tt1571249/,2014-04-08
Obvious Child,Comedy|Drama,English,USA,2014,Gillian Robespierre,Gaby Hoffmann|Jenny Slate|Jake Lacy,http://www.imdb.com/title/tt2910274/,2014-04-18
I Origins,Drama|Romance|Sci-Fi,English,USA,2014,Mike Cahill,Steven Yeun|Cara Seymour|Venida Evans,http://www.imdb.com/title/tt2884206/,2014-12-11
A Lego Brickumentary,Documentary,English,Denmark,2014,Kief Davidson,G.W. Krauss|Brian Whitaker|Jason Bateman,http://www.imdb.com/title/tt3214286/,2014-01-09
Hits,Comedy|Drama,English,USA,2014,David Cross,Jason Ritter|Matt Walsh|Amy Sedaris,http://www.imdb.com/title/tt3145220/,2014-02-09
Hidden Away,Drama|Romance,Spanish,Spain,2014,Mikel Rueda,Álex Angulo|Germán Alcarazu|Joseba Ugalde,http://www.imdb.com/title/tt3289362/,2014-11-14
Doc Holliday's Revenge,Western,English,USA,2014,David DeCoteau,William McNamara|Tom Berenger|Randy Jay Burrell,http://www.imdb.com/title/tt3359872/,2014-07-10
Bang Bang Baby,Drama|Musical|Sci-Fi,English,Canada,2014,Jeffrey St. Jules,Boyd Banks|Chloe Rose|Kristian Bruun,http://www.imdb.com/title/tt2655734/,2014-09-22
A Fine Step,Drama,,USA,2014,Jonathan Meyers,Justin Baldoni|Luke Perry|Leonor Varela,http://www.imdb.com/title/tt1604100/,2014-05-18
Ask Me Anything,Drama,English,USA,2014,Allison Burnett,Kimberly Williams-Paisley|Gia Mantegna|Cathryn de Prume,http://www.imdb.com/title/tt2505294/,2014-09-27
Food Chains,Documentary|News,English,USA,2014,Sanjay Rawal,Alma Martinez|Robert Kennedy Jr.|Eve Ensler,http://www.imdb.com/title/tt2141739/,2014-04-01
Not Cool,Comedy,English,USA,2014,Shane Dawson,Shane Dawson|Kurt Angle|Cherami Leigh,http://www.imdb.com/title/tt3569356/,2014-11-25
Destiny,Action|Adventure|Fantasy|Sci-Fi,English,USA,2014,Joseph Kosinski,Peter Dinklage|Lauren Cohan|Erick Avari,http://www.imdb.com/title/tt2983582/,2014-07-28
The Sisterhood of Night,Drama|Mystery|Thriller,English,USA,2014,Caryn Waechter,Laura Fraser|Kara Hayward|Louis Ozawa Changchien,http://www.imdb.com/title/tt1015471/,2014-07-10
The Hadza: Last of the First,Documentary,English,USA,2014,Bill Benenson,Alfre Woodard|Dave Fennoy|Jane Goodall,http://www.imdb.com/title/tt2139721/,2014-01-31
Light from the Darkroom,Action|Drama|Thriller,English,USA,2014,Lance McDaniel,Russell Wong|Steven Michael Quezada|Lymari Nadal,http://www.imdb.com/title/tt3130704/,2014-05-09
Good Kill,Drama|Thriller,English,USA,2014,Andrew Niccol,Bruce Greenwood|Zoë Kravitz|Stafford Douglas,http://www.imdb.com/title/tt3297330/,2014-12-11
The Outrageous Sophie Tucker,Documentary,English,USA,2014,William Gazecki,Carol Channing|Bruce Vilanch|Tony Bennett,http://www.imdb.com/title/tt2825768/,2014-03-22
The Sound and the Shadow,Comedy|Mystery|Thriller,English,USA,2014,Justin Paul Miller,Mary Kate Wiles|Jennifer Landa|Felix Avitia,http://www.imdb.com/title/tt2190180/,2014-10-02
Born to Fly: Elizabeth Streb vs. Gravity,Action|Biography|Documentary|Sport,English,USA,2014,Catherine Gund,Elizabeth Streb|Sarah Callan|Laura Flanders,http://www.imdb.com/title/tt2246526/,2014-03-20
Rise of the Entrepreneur: The Search for a Better Way,Documentary,English,USA,2014,Joe Kenemore,Bob Proctor|Jack Canfield|Eric Worre,http://www.imdb.com/title/tt4273494/,2014-07-31
Love in the Time of Monsters,Comedy|Horror,English,USA,2014,Matt Jackson,Kane Hodder|Paul Elia|Alex Sanborn,http://www.imdb.com/title/tt2403415/,2014-04-14
Locker 13,Thriller,English,USA,2014,Bruce Dellis,Tatyana Ali|Ricky Schroder|Jon Polito,http://www.imdb.com/title/tt1241226/,2014-09-17
Amidst the Devil's Wings,Action|Crime|Drama,English,USA,2014,Daniel Columbie,Keri Maletto|Nicholas Simmons|Barbie Castro,http://www.imdb.com/title/tt3976258/,2014-12-27
Horse Camp,Family,English,USA,2014,Joel Paul Reisig,Joshua Ray Bell|Dana Blackstone|Annelyse Ahmad,http://www.imdb.com/title/tt3421204/,2014-03-10
